Commodity I-O code,Industry I-O code,input
112A00,113A00,70
112A00,115000,332.7
112A00,311615,100.4
112A00,31161A,10035.4
112A00,311700,597.4
112A00,311990,425.4
112A00,313100,87.8
112A00,313210,81
112A00,313230,77.2
112A00,314990,43.3
112A00,33999A,1.6
112A00,48A000,15.8
112A00,541700,74.8
112A00,550000,3
112A00,561600,0.7
112A00,611100,0.2
112A00,611A00,8.6
112A00,622000,1.1
112A00,711200,3.1
112A00,712000,1.8
112A00,713950,1.3
112A00,713A00,15.8
112A00,713B00,50.8
112A00,7211A0,30.5
112A00,722000,368.7
112A00,812900,0
112A00,F01000,2653.1
112A00,F03000,-33
112A00,F04000,740.6
112A00,F05000,-1277.6
112A00,S00500,4.5
112A00,S00700,69.9
113300,113300,6349.1
113300,321100,9654.5
113300,321219,689.3
113300,32121A,1924.4
113300,321910,409.6
113300,321920,116.8
113300,321999,275
113300,322110,455.4
113300,322120,2437.3
113300,322130,1799.3
113300,F03000,174.6
113300,F04000,1113.3
113300,F05000,-240.2
113A00,113300,6495.2
113A00,113A00,79.3
113A00,115000,11.8
113A00,311330,61.2
113A00,311340,33.8
113A00,311910,12.5
113A00,311930,87.4
113A00,311940,25.8
113A00,311990,18.6
113A00,312110,50.1
113A00,315900,5.4
113A00,316200,4.9
113A00,321100,2760.6
113A00,32121A,512.9
113A00,321910,125.1
113A00,323120,10.3
113A00,324191,1.7
113A00,325110,0.7
113A00,325190,21.7
113A00,325212,4.1
113A00,325320,38.7
113A00,325411,0
113A00,325412,0
113A00,325413,0
113A00,325414,0
113A00,325510,22.9
113A00,325520,6.4
113A00,3259A0,13
113A00,326210,542.2
113A00,326220,23
113A00,326290,375.8
113A00,327999,0.7
113A00,335920,7.6
113A00,336300,2.8
113A00,33712A,54.4
113A00,339920,30
113A00,339991,34.4
113A00,339994,2
113A00,33999A,6.5
113A00,4A0000,1.9
113A00,541700,1.5
113A00,550000,0.1
113A00,561700,0.4
113A00,611A00,0.1
113A00,F01000,0
113A00,F03000,3.2
113A00,F04000,214
113A00,F05000,-1270.4
113A00,S00700,0.1
114100,311111,2.6
114100,311119,65.4
114100,311410,36.3
114100,311420,254.6
114100,311615,168.6
